symptoms,label
disability heart spleen hearing vision rash or birth developmental delays defects liver enlargement at loss intellectual problems,Congenital rubella
rough scaly patches on the skin usually in sun exposed region,Actinic Keratosis
abdominal hormonal unexplained loss imbalances weight or pain back,Adrenal Cancer
high blood pressure without proteinuria preeclampsia worse at night,Gestational Hypertension
lump swelling difficultness pain when swallowing and speaking facial weakness facial paralysis,Mucoepidermoid carcinoma
distance vision blurred squinting eyestrain,Myopia
fatigue abdominal swelling or pain enlarged liver elevated liver enzymes insulin resistance started after cold,Nonalcoholic Liver Disease (NASH)
floaters spots or cobweb like shapes in vision flashes of light curtain like shadow over vision sudden vision loss,Retinal Detachment
confusion shaking dizziness sweating,Hypoglycemia
worse at night low blood sugar hypoglycemia symptoms e g confusion sweating,Insulin Overdose
high blood pressure proteinuria swelling headaches visual disturbances moderate,Preeclampsia
nausea vomiting diarrhea neurological symptoms,Antimicrobial Drugs Poisoning
thick postnasal cough nasal pain nasal drip pressure facial congestion fatigue or discharge,Chronic Sinusitis
chest pain sharp or dull difficulty breathing or shortness of breath rapid or shallow breathing coughing up blood or pink tinged sputum decreased oxygen levels wheezy cyanosis bluish discoloration of the skin chest wall bruising rib fractures associated injuries,Lung Contusion
sudden involuntary muscle contractions muscle pain stiffness limited range of motion,Muscle Spasm
eye pain blurred vision sensitivity to lightness,Chorioretinitis
redness swelling discharge foul odor around the umbilical area,Omphalitis
severe persistent cough with thick mucus recurrent lung infections poor growth or weight gain salty tasting skin,Cystic Fibrosis
veins the enlarged often legs in swollen,Varicose Veins
flu like symptoms fever headache fatigue anxiety confusion hallucinations difficulty swallowing for a few days,Rabies
hoarseness vocal changes vocal fatigue,Vocal cord polyp
neurological symptoms confusion fever headache seizures,Encephalitis
vaginal bleeding abdominal cramps pelvic pain intermittent,Threatened Pregnancy
on painful mucous membranes skin and blisters the,Pemphigus
swollen rectal or itchy in veins area the painful,Hemorrhoids
lump swelling difficulty pain when swallowing and speaking facial weakness nervus facialis paralysis,Mucoepidermoid carcinoma
swelling joint stiffness pain,Arthritis
heel pain tenderness difficulty walking,Plantar Fasciitis
benign tumors in various organs seizures developmental delays skin abnormalities constant,Tuberous Sclerosis
lower back anguish discomfort in the pelvic area,Pregnancy-Related Back Pain
fatigue nausea excessive thirst kidney stones,Hypercalcemia
itchy skin particularly on the hands and feet for a few days,Gestational Cholestasis
blood in urine frequent urination pelvic pain,Bladder Cancer
severe fatigue weight changes mood swings dry skin,Thyroid Disease
avoidance or restriction of certain foods or total food groups significant weight loss or failure to gain weight,Avoidant/Restrictive Food Intake Disorder (ARFID)
chest pain or discomfort angina shortness of breath fatigue irregular heartbeat dizziness nausea sweating jaw or arm pain in some cases heart attack when a coronary artery becomes completely blocked severe,Coronary Atherosclerosis
vertigo dizziness nausea hearing loss ear pain severe,Labyrinthitis
drowsiness confusion slacken breathing,Sedatives Poisoning
shortness of breath wheezing chronic cough chest tightness fatigue weight loss mild,Emphysema
symptoms abdominal walking jaundice difficulty tremors or or speaking fatigue neurological swelling pain,Wilson Disease
cloudy or hazy eyes excessive tearing sensitivity to light,Congenital Glaucoma
elevated intraocular visual pressure loss field,Exfoliation Glaucoma
tingling numbness and pain in the hand and fingers,Carpal Tunnel Syndrome
urinary or difficulty gain weight frequency poor distension infections urinary poor or tract urgency abdominal urinary stream,Urethral Valves
high blood pressure sensation without proteinuria preeclampsia,Gestational Hypertension
abdominal pain bloating changes in bowel movements for a few days,Diverticulosis
headache fever confusion seizures neurological symptoms,Encephalitis
join swelling pain warmth limited range of motion,Hemarthrosis
dry pain bad mouth swelling taste,Wharton's duct stones
shortness of breath wheezing chronic cough chest tightness fag out weight loss,Emphysema
fatigue weakness pale skin curtness of breath,Anemia
nausea retch abdominal pain liver or kidney damage dizziness confusion respiratory distress,Poisoning due to Analgesics
headache fever neurological deficits no fever,Intracranial Abscess
of digestive loss or or distress coughing pain pain or chest perforation gastrointestinal abdominal obstruction drooling nausea discomfort or respiratory pressure swallowing bleeding vomiting of bowel wheezing or the difficulty gagging tract choking appetite,Foreign Body in the Gastrointestinal Tract
discomfort bowel the loss bleeding drooling coughing chest gastrointestinal pain vomiting wheezing swallowing digestive choking or pressure pain or abdominal of distress or respiratory gagging nausea or difficulty appetite or tract of obstruction perforation,Foreign Body in the Gastrointestinal Tract
pain during bowel movements rectal bleeding,Anal Fissure
moderate foot pain or achiness difficulty with foot and ankle movement foot fatigue swelling,Flat Feet
nodes fatigue weight swollen unexplained lymph loss,Lymphoma
lower abdominal pain and discomfort occurring about the time of ovulation,Mittelschmerz
numbness or tingling in fingers or around the mouth muscle cramps constant,Hypocalcemia
elevated levels of gamma globulins in the blood may be asymptomatic or associated with other underlying conditions constant,Hypergammaglobulinemia
sudden and severe abdominal or pelvic pain on one side sharp or stabbing pain nausea vomiting fever rapid heartbeat abdominal tenderness bloating swelling pain during intercourse abnormal bleeding or espial,Ovarian Torsion
vaginal bleeding abdominal pain or cramping shoulder pain if the fallopian tube ruptures no medication taken,Ectopic Pregnancy
nausea diarrhea vomiting fever cramps pain or abdominal,Gastroenteritis (Stomach Flu)
irregular or speedy heartbeat palpitations shortness of breath chest pain or discomfort dizziness or lightheadedness fatigue,Atrial Fibrillation
chest pain difficulty breathing tenderness or swelling over the ribcage improved with rest,Fracture of the Rib
high pressure blood pregnancy during,Pregnancy-Induced Hypertension
painful lump or swelling on the eyelid redness tenderness worse at night,Cyst of the Eyelid
abdominal or back pain unexplained weight loss hormonal imbalances mild,Adrenal Cancer
excessive daytime sleepiness sudden loss of muscular tissue tone cataplexy,Narcolepsy
constant increased energy and alertness euphoria decreased appetite increased heart rate and blood pressure insomnia restlessness irritability paranoia psychosis in severe cases,Stimulant Use Disorder
persistent cough with yellow or green mucus chest congestion fatigue moderate,Bronchitis
easy or excessive bruising prolonged or excessive bleeding from cuts or injuries frequent nosebleeds heavy or prolonged menstrual periods bleeding gums blood in urine or stool intermittent,Von Willebrand Disease
nausea severe during vomiting pregnancy and,Hyperemesis Gravidarum
swollen lymph knob fever fatigue headache rash,Cat Scratch Disease
throat lymph sore nodes difficulty swollen swallowing,Pharyngitis
euphoria increased energy dilated pupils rapid heart rate high blood pressure risk of heart attack or stroke,Drug Abuse (Cocaine)
constant vaginal dryness vaginal burning frequent urination urinary tract infections painful intercourse,Atrophic vaginitis
since this morning itching and visible presence of lice or nits eggs in the hair,Lice
heel walking surrounding when inflammation swelling tenderness especially or of pain tissue standing the,Bone Spur of the Calcaneus
